Team,Final Score,Year
RSL,0,2022
RSL,0,2022
RSL,2,2022
RSL,1,2022
RSL,0,2022
RSL,2,2022
RSL,3,2022
RSL,1,2022
RSL,0,2022
RSL,0,2022
RSL,0,2022
RSL,1,2022
RSL,1,2022
RSL,0,2021
RSL,2,2021
RSL,0,2021
RSL,1,2021
RSL,1,2021
RSL,3,2021
RSL,2,2021
RSL,0,2021
RSL,3,2021
RSL,1,2021
RSL,2,2021
RSL,1,2021
RSL,1,2021
RSL,4,2021
RSL,2,2021
RSL,3,2021
RSL,1,2021
RSL,1,2021
RSL,2,2021
RSL,1,2021
RSL,2,2021
RSL,0,2021
RSL,0,2021
RSL,3,2021
RSL,2,2021
RSL,1,2021
RSL,4,2021
RSL,0,2021
RSL,1,2021
RSL,1,2021
RSL,3,2021
RSL,1,2021
RSL,2,2021
RSL,0,2021
RSL,1,2021
RSL,3,2021
RSL,2,2021
RSL,2,2021
RSL,0,2020
RSL,2,2020
RSL,1,2020
RSL,0,2020
RSL,0,2019
RSL,0,2019
RSL,1,2019
RSL,2,2019
RSL,3,2019
RSL,3,2019
RSL,1,2019
RSL,1,2019
RSL,3,2019
RSL,2,2019
RSL,0,2019
RSL,2,2019
RSL,1,2019
RSL,0,2019
RSL,1,2019
RSL,1,2019
RSL,1,2019
RSL,2,2018
RSL,1,2018
RSL,3,2018
RSL,0,2018
RSL,4,2018
RSL,1,2018
RSL,1,2018
RSL,0,2018
RSL,1,2018
RSL,6,2018
RSL,6,2018
RSL,2,2018
RSL,0,2018
RSL,1,2018
RSL,2,2018
RSL,0,2018
RSL,2,2018
RSL,2,2018
RSL,2,2018
RSL,4,2018
RSL,1,2018
RSL,1,2018
RSL,0,2018
RSL,0,2018
RSL,2,2018
RSL,2,2018
RSL,1,2018
RSL,1,2018